case_id	title	palette_mode	focus_architecture	space_architecture	motion_primary	hardness	gravity	material_identity	silhouette	density	retrieval_tags	visual_features
001	透明水体包裹与缓慢波动	layered_gradient	environment_dominant	wrapped	wave	flexible	light	watery,misty,glossy,organic	wrapped,asymmetric_editorial	low	水感,透明,环境主导,包裹,波纹,漂浮,低密度	透明水光,环境大于主体,低密度留白,缓慢波动
002	粉绿平面色块与圆润趣味	dominant_multi_accent	single_focus	central	static	structured	neutral	papery,matte,organic	central_compact	medium	平面插画,圆润,色块,纸感,角色气质,静态,轻怪趣	粉绿平衡,圆润几何块面,哑光纸感,中心稳定
003	粉蓝柔光与轻甜漂浮	layered_gradient	single_focus	central	floating	soft	weightless	misty,textile,matte	floating	low	梦幻,柔焦,恋爱感,高明度,漂浮,轻甜	粉蓝渐变,柔焦空气感,高明度低饱和,少量暖光
004	黑黄低色数与印刷切割	opposition	single_focus	central	upward	hard	neutral	papery,matte,rough	vertical_sculptural	medium	低色数,高对比,点阵,复古印刷,酷感,竖向	黑黄高对比,低色数,点阵印刷感,成熟克制
005	无彩环境中的单一暖色焦点	dominant_single_accent	single_focus	central	static	hard	heavy	matte,glossy,synthetic	vertical_sculptural	low	单点焦点,黑白,凝视,向心,低色数,高对比	无彩环境,单一暖色焦点,面积小权重高,向心凝视
006	深蓝夜色中的上升与下坠	monochrome	single_focus	layered	upward	structured	heavy	matte,papery,dry	vertical_sculptural	low	深蓝,夜色,单色,冷光,上升,下坠,孤独	深蓝单色层级,黑色压重,上升下坠对抗
007	波浪包装对主体的层叠包裹	layered_gradient	environment_dominant	wrapped	wave	flexible	light	watery,papery,textile,misty	wrapped	low	海水,波浪,包裹,分层,人物氛围,褶皱纸	蓝白分层渐变,主体被环境包裹,横向波浪
008	深色背景上的多点涂鸦事件	dominant_multi_accent	distributed_focus	scattered	directional	structured	neutral	papery,matte,rough,synthetic	asymmetric_editorial	high	涂鸦,拼贴,多点焦点,高信息量,夜景,DIY,多方向	深色稳定背景,多点彩色信号,多方向弹跳,有主轴
009	多焦点群像的共同节奏	organized_multicolor	multi_focus	scattered	directional	structured	neutral	papery,matte,synthetic,textile	group_ensemble	high	群像,多焦点,青春,红青撞色,外放,伙伴,舞台	多角色关系,多个中型焦点,各自外放又共同聚合
010	天空风草地与小人物的景观分层	dominant_multi_accent	environment_dominant	landscape	directional	flexible	light	organic,papery,matte,textile	landscape	low	风景,环境主导,小人物,风,空间分层,景观型,低密度	环境远大于主体,上下景观分层,横向风痕
011	裙摆与草被同一阵风带动	dominant_multi_accent	single_focus	landscape	directional	soft	light	textile,organic,papery	directional	low	奔跑,风,横向动势,包装主角,人物动态,高不对称	大面积飞扬曲面,强横向风势,全束结构共同受风
012	冷色水域中的暖色漂流小岛	dominant_multi_accent	dual_focus	scattered	floating	structured	light	dry,rough,papery,organic	floating	low	漂流,冷暖包裹,插画叙事,双焦点,旧物感,留白	冷色大环境,暖色中心岛,元素彼此有距离
013	单一能量源驱动的彩色放射爆发	radial_energy	single_focus	radial	radial_explosion	structured	weightless	glossy,metallic,synthetic	radial	high	能量爆发,放射,高饱和,多彩,中心焦点,粒子,霓虹	单一绝对能量核,中心放射,外围粒子飞散
014	深夜空间中的微光失重漂浮	layered_gradient	multi_focus	scattered	floating	soft	weightless	misty,glossy,textile,synthetic	floating	medium	冷紫蓝,夜梦,微光,失重,漂浮,多柔焦点,冰晶	低饱和冷色亮部,多个柔和焦点,雾与冰晶
015	黑色机械底盘中的红色高速推进	opposition	single_focus	layered	directional	mechanical	heavy	metallic,glossy,synthetic	directional	medium	竞技,速度,机械,黑红,前冲,性能感,锐利	机械底盘,性能红速度线,前向加速,高压缩结构
016	秋季穿搭的色彩与触感	dominant_multi_accent	multi_focus	central	static	soft	heavy	textile,matte,dry,organic,rough	asymmetric_editorial	high	秋日,穿搭,生活方式,驼色,复古,触感,静态	暖中性色环境,厚实穿搭触感,稳定生活气质,冷色透气孔
017	稳定花田与漂浮幻想层	dominant_multi_accent	environment_dominant	layered	floating	structured	neutral	organic,papery,dry,synthetic	landscape	high	超现实,田野,漂浮云,自然幻想,上下分层,怪趣	自然地面与超现实天空并置,下稳上浮
018	植物向机械外骨骼生长	dominant_single_accent	single_focus	scattered	mechanical_extension	mechanical	neutral	metallic,synthetic,glossy,dry	vertical_sculptural	low	机械角色,外骨骼,赛博,结构优先,机械延展,能量节点,高不对称	线性材料多于花朵,尖锐折线延展,少量能量节点
019	红色舞台统领的高饱和群像	organized_multicolor	multi_focus	central	upward	structured	neutral	textile,papery,glossy,organic	group_ensemble	high	群像海报,中国红,喜剧,民俗,多焦点,高密度,舞台	单一舞台色统领多个高饱和角色色,拥挤但有秩序
020	黑暗中红青双极能量碰撞	opposition	dual_focus	scattered	collision	mechanical	heavy	metallic,glossy,synthetic	asymmetric_editorial	medium	红青对抗,赛博,双焦点,碰撞,黑色负空间,尖锐,能量拖尾	两色互相入侵但不混色,锐利拉扯,下坠拖尾
021	蓝色单色秩序中的唯一红色破局	dominant_single_accent	single_focus	central	upward	structured	neutral	matte,papery,synthetic,glossy	vertical_sculptural	high	单色沉浸,异色破局,高纯度色盘,唯一红点,角色气质,克制	单色明度和形态层级,唯一异色异常焦点
